video_id,channel_id,channel_title,published_at,title,description,tags,thumbnail_url,duration_seconds,view_count,like_count,comment_count,favorite_count,transcript
NUisd5DHIno,UC71jivQK7rUd8jzldjCXknQ,Kofoody,2025-12-07T11:15:02Z,Creamy onion & Garlic Pasta | easy Dinner Ready in 5 Min! #shorts #cooking #asmrfood,"Ingredients:

  $ 2 Onions 
  $ 3 gloves garlic 
  $ 1 tsp chili sauce 
  $ 2 tbsp parsley 
  $ 1 tsp part of butter 
  $ 2 tbsp Oil
  $ 3 tbsp water
  $ 1 tsp soy sauce 
  $ 3 tsp Cream 
  $ 2 tbsp Parmiso
  $ 100 g Spaghetti 
  $ 1/2 tbsp Paprika
  $ 1tsp Salt
  $ 1/2 tbsp pepper 

#GarlicPasta #EasyDinner #QuickMeal #5MinuteRecipe #PastaRecipe
#CheesyPasta #EasyCooking #DinnerIdeas #Shorts #FoodShorts
#QuickDinner #YummyPasta #CreamyPasta #ViralRecipe #HomeCooking
#FastRecipe #ASMRCooking #ASMRFood #ASMRShorts #CookingASMR
#TastyASMR #ComfortFood #DeliciousRecipe #CookingVideo #foodlovers","[""Garlic pasta"", ""Easy dinner"", ""Quick meal"", ""5 minute recipe"", ""Pasta recipe"", ""Cheesy pasta"", ""Creamy pasta"", ""Easy cooking"", ""Dinner ideas"", ""Quick dinner"", ""Yummy pasta"", ""Viral recipe"", ""Home cooking"", ""Fast recipe"", ""ASMRCooking"", ""ASMR food"", ""Cooking ASMR"", ""ASMR shorts"", ""Tasty ASMR"", ""Comfort food"", ""Delicious recipe"", ""Food lovers"", ""Easy pasta recipe"", ""Dinner recipe"", ""Quick pasta"", ""Cheese pasta"", ""Pasta dinner"", ""Simple pasta"", ""Pasta with garlic"", ""Easy garlic pasta"", ""Creamy garlic pasta""]",https://i.ytimg.com/vi/NUisd5DHIno/hqdefault.jpg,22.0,14377,255,1,0,
_B0sI-P4fP0,UCzlA0f-KjXOrwYEPN0t13vw,Wake'N'Bite Kitchen,2025-12-07T05:30:27Z,350Rs Cheese Paratha🤪 Vs 230Rs Vs 115Rs | Cheap Vs Expensive | #trending #shorts #foodie,,"[""Cheese Paratha Comparison"", ""Paratha Comparison"", ""Cheap Vs Expensive Cheese Paratha"", ""Cheese Paratha Cheap Vs Expensive Comparison"", ""Cheap Vs Expensive Comparison Video"", ""Cheese Paratha Comparison Cheap Vs Expensive"", ""Cheap Vs Expensive"", ""Food Comparison"", ""Eating Videos"", ""Comparison Videos"", ""Indian Food Videos"", ""Supriya Food Comparison"", ""Cheese Paratha Comparison Video"", ""Cheap Vs Expensive Cheese Paratha Comparison Video""]",https://i.ytimg.com/vi/_B0sI-P4fP0/hqdefault.jpg,46.0,142040,4424,9,0,
nR0O8Vwc0D0,UCbxQ3OFjbE34oUza4eY6PBw,Them Bites,2025-12-03T21:58:34Z,This Takes No Effort But Will be Your Favorite Thing,"Get the full recipe here: 
https://thembites.com/christmas-crack-with-pretzels/

Homemade holiday gifts ep 1. Christmas Crack. This is a recipe we keep coming back to, year after year, because it's so easy to make and its everyone's favorite. Salty, sweet and crunchy- what's better?

We spent a lot of years making gifts around the holidays (ie we broke), so this month we're sharing some of our fan favorites and best recipes. Don't worry savory fans, we got you covered too. Full recipe is in the comments.","[""christmas crack"", ""christmas cookies"", ""holiday treat"", ""recipe""]",https://i.ytimg.com/vi/nR0O8Vwc0D0/hqdefault.jpg,35.0,183035,5324,90,0,
kG0--BUq9Jo,UCPrVsW2shS5baUgUyA4xyEA,Xamza Abdulbakiyev,2025-12-04T09:11:16Z,San-sebastiyan (Burnt Basque Cheesecake),,[],https://i.ytimg.com/vi/kG0--BUq9Jo/hqdefault.jpg,52.0,1347118,19477,370,0,
D1CSCXt4l0s,UCDhemapRS4OfAfzTn5kYuvA,Judy's WildSense AI,2025-12-09T04:12:54Z,My Cat's DRAMATIC Reaction to Cheap Food vs Treats 🐱 #catlife #funny #shorts,"Watch this `picky eater cat` throw an epic `cat temper` tantrum when presented with `dry food` instead of her preferred `cat food`. This hilarious display shows `cats throwing tantrums` in full force, demanding better meal options. Get ready for some purr-fectly silly moments! 😹
Get vidIQ to grow your channel faster! 🚀
https://vidiq.com/JudysWildSenseAI","[""cat temper"", ""cat food"", ""picky eater cat"", ""cat won't eat food"", ""dry food"", ""synthwave"", ""jackson galaxy"", ""homemade cat food"", ""cat care"", ""cat training"", ""raw cat food"", ""cat won't eat"", ""cat daddy"", ""healthy cat diet"", ""pet food"", ""feline health"", ""cat nutrition guide"", ""my cat from hell"", ""cat kibble"", ""taking care of a cat"", ""best cat food"", ""cat nutrition"", ""wet cat food"", ""cat behavior"", ""cats"", ""cat"", ""cat videos"", ""cat eating"", ""cat video"", ""animal planet"", ""angry cat"", ""make your own cat food"", ""cat mom""]",https://i.ytimg.com/vi/D1CSCXt4l0s/hqdefault.jpg,16.0,15823,154,0,0,
PD82zl1Plic,UCc2Nc447GL8stRT7aA1a74g,Aysun Cetin,2025-12-04T16:32:13Z,Tarif yorumda ✍️ #dessert #köfte #akşamyemeği,,[],https://i.ytimg.com/vi/PD82zl1Plic/hqdefault.jpg,20.0,807975,4666,96,0,
OZIpB36oiBs,UCY7h-28fm-1FinSwROtUNBA,SWAD INDIA,2025-12-05T04:26:45Z,Mumbai Cheapest Egg Omelette Pav in India #shorts #streetfood #omelette,Mumbai Cheapest Egg Omelette Pav in India #shorts #streetfood #omelette,[],https://i.ytimg.com/vi/OZIpB36oiBs/hqdefault.jpg,45.0,37050,0,0,0,
64NelL-kdCA,UCkL9iGaKMfrBwKVSs63i7BA,Aazim Official,2025-12-05T15:54:40Z,Cheapest food in Dubai #dubailfe #food #foodshorts #foodie,,[],https://i.ytimg.com/vi/64NelL-kdCA/hqdefault.jpg,45.0,15775,483,5,0,
lx1QoHmnTBc,UCpagyLd8i4TFIdbeK06QJYw,Chef Neha Deepak Shah,2025-12-09T11:30:57Z,High Protein Bombay Sandwich || Besan Pudla Sandwich,"💪 🥪 High Protein Bombay Sandwich or the Besan pudla sandwich is the only way you should make your bombay sandwich if you are trying lose weight. 

Save and share these recipes to hit your protein goals !

✅ 460 Calories
✅ 28 g Protein 

2 slices bread
45 g Besan
100 g Thick Yoghurt (I used high protein yoghurt which has 12 g protein in 100 g & is about 100 calories)
Tomato, Cucumber, beetroot, onion & potato slices
Coriander chutney & sandwich masala

🌟 Vishesh Tippani
- Let the batter cook slowly before you flip it but if is too soft, it shall break
- Cool it before you make the sandwich, I usually use a rack to cool it to prevent it from becoming soggy

As a vegetarian, do you agree, the protein struggle is REAL ! Bombay sandwich toh aapne bohot khaya hoga but is sandwich mein 28 g protein hai & about 460 calories. 

#HighProtein #HighProteinSanwich #Sanwich #SandwichRecipe #HighProteinNeha #HighProteinRecipes #HighProteinVegetarian #VegetarianProtein","[""sandwich"", ""high protein recipe"", ""Pudla Sandwich"", ""besan sandwich"", ""healthy recipe""]",https://i.ytimg.com/vi/lx1QoHmnTBc/hqdefault.jpg,53.0,206325,4190,21,0,
pJ9hvt_v9ic,UCRTAgTES3jEY-1di5qEA3sA,Ujala Diary,2025-12-06T12:09:01Z,Girls hostel mess food review|| #hostellife #watchtilltheend #trendingshorts #ytshorts #viral,,[],https://i.ytimg.com/vi/pJ9hvt_v9ic/hqdefault.jpg,43.0,43756,1174,7,0,
